psalm,verse_number,text,compound_sentiment,clean_text,cluster,cluster_label
31,13,"For I hear the whispering of many— terror all around!— as they scheme together against me, as they plot to take my life.",-0.5707,hear whispering terror around scheme together plot take life,1,Poetic Metaphors
31,14,"But I trust in you, O Lord; I say, “You are my God.”",0.6652,trust lord say god,4,Victory and Power
31,15,My times are in your hand; deliver me from the hand of my enemies and persecutors.,0.4939,times hand deliver hand enemies persecutors,3,Judgment & Righteousness
31,16,Let your face shine upon your servant; save me in your steadfast love.,0.8555,let face shine upon servant save steadfast love,0,Hopefulness
31,17,"Do not let me be put to shame, O Lord, for I call on you; let the wicked be put to shame; let them go dumbfounded to Sheol.",-0.9042,let put shame lord call let wicked put shame let go dumbfounded sheol,3,Judgment & Righteousness
31,18,Let the lying lips be stilled that speak insolently against the righteous with pride and contempt.,-0.7003,let lying lips stilled speak insolently righteous pride contempt,3,Judgment & Righteousness
31,19,"O how abundant is your goodness that you have laid up for those who fear you, and accomplished for those who take refuge in you, in the sight of everyone!",0.4574,abundant goodness laid fear accomplished take refuge sight everyone,3,Judgment & Righteousness
31,20,In the shelter of your presence you hide them from human plots; you hold them safe under your shelter from contentious tongues.,0.0,shelter presence hide human plots hold safe shelter contentious tongues,1,Poetic Metaphors
31,21,"Blessed be the Lord, for he has wondrously shown his steadfast love to me when I was beset as a city under siege.",0.8779,blessed lord wondrously shown steadfast love beset city siege,4,Victory and Power
31,22,"I had said in my alarm, “I am driven far from your sight.” But you heard my supplications when I cried out to you for help.",-0.1406,said alarm driven far heard supplications cried help,1,Poetic Metaphors
31,23,"Love the Lord, all you his saints. The Lord preserves the faithful, but abundantly repays the one who acts haughtily.",0.5499,love lord saints lord preserves faithful abundantly repays one acts haughtily,0,Hopefulness
31,24,"Be strong, and let your heart take courage, all you who wait for the Lord.",0.8934,strong let heart take courage wait lord,0,Hopefulness
32,1,"Happy are those whose transgression is forgiven, whose sin is covered.",0.4019,happy whose transgression forgiven whose sin covered,0,Hopefulness
32,2,"Happy are those to whom the Lord imputes no iniquity, and in whose spirit there is no deceit.",0.6888,happy lord imputes iniquity whose spirit deceit,3,Judgment & Righteousness
32,3,"While I kept silence, my body wasted away through my groaning all day long.",-0.4939,kept silence body wasted away groaning day long,1,Poetic Metaphors
32,4,For day and night your hand was heavy upon me; my strength was dried up as by the heat of summer.Selah,0.7506,day night hand heavy upon strength dried heat,1,Poetic Metaphors
32,5,"Then I acknowledged my sin to you, and I did not hide my iniquity; I said, “I will confess my transgressions to the Lord,” and you forgave the guilt of my sin.Selah",-0.418,acknowledged sin hide iniquity said confess transgressions lord forgave guilt,3,Judgment & Righteousness
32,6,"Therefore let all who are faithful offer prayer to you; at a time of distress, the rush of mighty waters shall not reach them.",-0.1466,therefore let faithful offer prayer time distress rush mighty waters shall reach,0,Hopefulness
32,7,You are a hiding place for me; you preserve me from trouble; you surround me with glad cries of deliverance.Selah,-0.5574,hiding place preserve trouble surround glad cries,1,Poetic Metaphors
32,8,I will instruct you and teach you the way you should go; I will counsel you with my eye upon you.,0.0,instruct teach way go counsel eye upon,3,Judgment & Righteousness
32,9,"Do not be like a horse or a mule, without understanding, whose temper must be curbed with bit and bridle, else it will not stay near you.",0.0572,like horse mule without understanding whose temper must curbed bit bridle else stay near,3,Judgment & Righteousness
32,10,"Many are the torments of the wicked, but steadfast love surrounds those who trust in the Lord.",0.9109,many torments wicked steadfast love surrounds trust lord,0,Hopefulness
32,11,"Be glad in the Lord and rejoice, O righteous, and shout for joy, all you upright in heart.",0.9313,glad lord rejoice righteous shout joy upright heart,0,Hopefulness
33,1,"Rejoice in the Lord, O you righteous. Praise befits the upright.",0.7579,rejoice lord righteous praise befits upright,4,Victory and Power
33,2,Praise the Lord with the lyre; make melody to him with the harp of ten strings.,0.5574,praise lord lyre make melody harp ten strings,4,Victory and Power
33,3,"Sing to him a new song; play skillfully on the strings, with loud shouts.",0.34,sing new song play skillfully strings loud shouts,1,Poetic Metaphors
33,4,"For the word of the Lord is upright, and all his work is done in faithfulness.",0.4404,word lord upright work done faithfulness,0,Hopefulness
33,5,He loves righteousness and justice; the earth is full of the steadfast love of the Lord.,0.9231,loves righteousness justice earth full steadfast love lord,0,Hopefulness
33,6,"By the word of the Lord the heavens were made, and all their host by the breath of his mouth.",0.4019,word lord heavens made host breath mouth,4,Victory and Power
33,7,He gathered the waters of the sea as in a bottle; he put the deeps in storehouses.,0.0,gathered waters sea bottle put deeps storehouses,1,Poetic Metaphors
33,8,Let all the earth fear the Lord; let all the inhabitants of the world stand in awe of him.,-0.4939,let earth fear lord let inhabitants world stand awe,4,Victory and Power
33,9,"For he spoke, and it came to be; he commanded, and it stood firm.",0.0,spoke came commanded stood firm,1,Poetic Metaphors
33,10,The Lord brings the counsel of the nations to nothing; he frustrates the plans of the peoples.,0.3412,lord brings counsel nations nothing frustrates plans peoples,4,Victory and Power
33,11,"The counsel of the Lord stands forever, the thoughts of his heart to all generations.",0.6369,counsel lord stands forever thoughts heart generations,0,Hopefulness
33,12,"Happy is the nation whose God is the Lord, the people whom he has chosen as his heritage.",0.7003,happy nation whose god lord people chosen heritage,2,Protection and Authority
33,13,The Lord looks down from heaven; he sees all humankind.,0.5106,lord looks heaven sees humankind,4,Victory and Power
33,14,From where he sits enthroned he watches all the inhabitants of the earth—,0.0,sits enthroned watches inhabitants,1,Poetic Metaphors
33,15,"he who fashions the hearts of them all, and observes all their deeds.",0.6486,fashions hearts observes deeds,0,Hopefulness
33,16,A king is not saved by his great army; a warrior is not delivered by his great strength.,0.877,king saved great army warrior delivered great strength,2,Protection and Authority
33,17,"The war horse is a vain hope for victory, and by its great might it cannot save.",-0.3244,war horse vain hope victory great might save,1,Poetic Metaphors
33,18,"Truly the eye of the Lord is on those who fear him, on those who hope in his steadfast love,",0.8316,truly eye lord fear hope steadfast love,0,Hopefulness
33,19,"to deliver their soul from death, and to keep them alive in famine.",-0.3182,deliver soul death keep alive famine,0,Hopefulness
33,20,Our soul waits for the Lord; he is our help and shield.,0.4019,soul waits lord help shield,4,Victory and Power
33,21,"Our heart is glad in him, because we trust in his holy name.",0.8885,heart glad trust holy name,0,Hopefulness
33,22,"Let your steadfast love, O Lord, be upon us, even as we hope in you.",0.8442,let steadfast love lord upon us even hope,0,Hopefulness
34,1,I will bless the Lord at all times; his praise shall continually be in my mouth.,0.7506,bless lord times praise shall continually mouth,4,Victory and Power
34,2,My soul makes its boast in the Lord; let the humble hear and be glad.,0.4588,soul makes boast lord let humble hear glad,4,Victory and Power
34,3,"O magnify the Lord with me, and let us exalt his name together.",0.0,magnify lord let us exalt name together,4,Victory and Power
34,4,"I sought the Lord, and he answered me, and delivered me from all my fears.",-0.4215,sought lord answered delivered fears,4,Victory and Power
34,5,"Look to him, and be radiant; so your faces shall never be ashamed.",0.6862,look radiant faces shall never ashamed,3,Judgment & Righteousness
34,6,"This poor soul cried, and was heard by the Lord, and was saved from every trouble.",-0.6808,poor soul cried heard lord saved every trouble,4,Victory and Power
34,7,"The angel of the Lord encamps around those who fear him, and delivers them.",-0.4939,angel lord encamps around fear delivers,4,Victory and Power
34,8,O taste and see that the Lord is good; happy are those who take refuge in him.,0.765,taste see lord good happy take refuge,4,Victory and Power
34,9,"O fear the Lord, you his holy ones, for those who fear him have no want.",-0.7665,fear lord holy ones fear want,4,Victory and Power
34,10,"The young lions suffer want and hunger, but those who seek the Lord lack no good thing.",-0.8252,young lions suffer want hunger seek lord lack good thing,4,Victory and Power
34,11,"Come, O children, listen to me; I will teach you the fear of the Lord.",-0.4939,come children listen teach fear lord,4,Victory and Power
34,12,"Which of you desires life, and covets many days to enjoy good?",0.7269,desires life covets many days enjoy good,0,Hopefulness
34,13,"Keep your tongue from evil, and your lips from speaking deceit.",-0.8126,keep tongue evil lips speaking deceit,3,Judgment & Righteousness
34,14,"Depart from evil, and do good; seek peace, and pursue it.",0.25,depart evil good seek peace pursue,3,Judgment & Righteousness
34,15,"The eyes of the Lord are on the righteous, and his ears are open to their cry.",-0.4767,eyes lord righteous ears open cry,4,Victory and Power
34,16,"The face of the Lord is against evildoers, to cut off the remembrance of them from the earth.",-0.6705,face lord evildoers cut remembrance earth,4,Victory and Power
34,17,"When the righteous cry for help, the Lord hears, and rescues them from all their troubles.",-0.2732,righteous cry help lord hears rescues troubles,4,Victory and Power
34,18,"The Lord is near to the brokenhearted, and saves the crushed in spirit.",-0.2732,lord near brokenhearted saves crushed spirit,4,Victory and Power
34,19,"Many are the afflictions of the righteous, but the Lord rescues them from them all.",0.4497,many afflictions righteous lord rescues,4,Victory and Power
34,20,He keeps all their bones; not one of them will be broken.,-0.4767,keeps bones one broken,1,Poetic Metaphors
34,21,"Evil brings death to the wicked, and those who hate the righteous will be condemned.",-0.9601,evil brings death wicked hate righteous condemned,3,Judgment & Righteousness
34,22,The Lord redeems the life of his servants; none of those who take refuge in him will be condemned.,-0.4404,lord redeems life servants none take refuge condemned,4,Victory and Power
35,1,"Contend, O Lord, with those who contend with me; fight against those who fight against me!",-0.6239,contend lord contend fight fight,4,Victory and Power
35,2,"Take hold of shield and buckler, and rise up to help me!",0.4574,take hold shield buckler rise help,1,Poetic Metaphors
35,3,"Draw the spear and javelin against my pursuers; say to my soul, “I am your salvation.”",0.0,draw spear javelin pursuers say soul salvation,3,Judgment & Righteousness
35,4,Let them be put to shame and dishonor who seek after my life. Let them be turned back and confounded who devise evil against me.,-0.8176,let put shame dishonor seek life let turned back confounded devise evil,3,Judgment & Righteousness
35,5,"Let them be like chaff before the wind, with the angel of the Lord driving them on.",0.3612,let like chaff wind angel lord driving,4,Victory and Power
35,6,"Let their way be dark and slippery, with the angel of the Lord pursuing them.",0.0,let way dark slippery angel lord pursuing,4,Victory and Power
35,7,For without cause they hid their net for me; without cause they dug a pit for my life.,0.0762,without cause hid net without cause dug pit life,1,Poetic Metaphors
35,8,Let ruin come on them unawares. And let the net that they hid ensnare them; let them fall in it—to their ruin.,-0.8402,let ruin come unawares let net hid ensnare let fall ruin,1,Poetic Metaphors
35,9,"Then my soul shall rejoice in the Lord, exulting in his deliverance.",0.4404,soul shall rejoice lord exulting deliverance,4,Victory and Power
35,10,"All my bones shall say, “O Lord, who is like you? You deliver the weak from those too strong for them, the weak and needy from those who despoil them.”",-0.34,bones shall say lord like deliver weak strong weak needy despoil,4,Victory and Power
35,11,Malicious witnesses rise up; they ask me about things I do not know.,0.0,malicious witnesses rise ask things know,3,Judgment & Righteousness
35,12,They repay me evil for good; my soul is forlorn.,-0.3612,repay evil good soul forlorn,3,Judgment & Righteousness
35,13,"But as for me, when they were sick, I wore sackcloth; I afflicted myself with fasting. I prayed with head bowed on my bosom,",-0.8271,sick wore sackcloth afflicted fasting prayed head bowed bosom,1,Poetic Metaphors
35,14,"as though I grieved for a friend or a brother; I went about as one who laments for a mother, bowed down and in mourning.",-0.6369,though grieved friend brother went one laments mother bowed mourning,1,Poetic Metaphors
35,15,"But at my stumbling they gathered in glee, they gathered together against me; ruffians whom I did not know tore at me without ceasing;",0.7783,stumbling gathered glee gathered together ruffians know tore without ceasing,1,Poetic Metaphors
35,16,"they impiously mocked more and more, gnashing at me with their teeth.",-0.3182,impiously mocked gnashing teeth,3,Judgment & Righteousness
35,17,"How long, O Lord, will you look on? Rescue me from their ravages, my life from the lions!",0.5562,long lord look rescue ravages life lions,4,Victory and Power
35,18,Then I will thank you in the great congregation; in the mighty throng I will praise you.,0.8807,thank great congregation mighty throng praise,4,Victory and Power
35,19,"Do not let my treacherous enemies rejoice over me, or those who hate me without cause wink the eye.",-0.6124,let treacherous enemies rejoice hate without cause wink eye,3,Judgment & Righteousness
35,20,"For they do not speak peace, but they conceive deceitful words against those who are quiet in the land.",-0.698,speak peace conceive deceitful words quiet land,3,Judgment & Righteousness
35,21,"They open wide their mouths against me; they say, “Aha, Aha, our eyes have seen it.”",0.0,open wide mouths say aha aha eyes seen,1,Poetic Metaphors
35,22,"You have seen, O Lord; do not be silent! O Lord, do not be far from me!",0.0,seen lord silent lord far,4,Victory and Power
35,23,"Wake up! Bestir yourself for my defense, for my cause, my God and my Lord!",0.4912,wake bestir defense cause god lord,4,Victory and Power
35,24,"Vindicate me, O Lord, my God, according to your righteousness, and do not let them rejoice over me.",-0.0015,vindicate lord god according righteousness let rejoice,4,Victory and Power
35,25,"Do not let them say to themselves, “Aha, we have our heart’s desire.” Do not let them say, “We have swallowed you up.”",0.0,let say aha heart let say swallowed,1,Poetic Metaphors
35,26,Let all those who rejoice at my calamity be put to shame and confusion; let those who exalt themselves against me be clothed with shame and dishonor.,-0.6705,let rejoice calamity put shame confusion let exalt clothed shame dishonor,3,Judgment & Righteousness
35,27,"Let those who desire my vindication shout for joy and be glad, and say evermore, “Great is the Lord, who delights in the welfare of his servant.”",0.91,let desire vindication shout joy glad say evermore great lord delights welfare servant,4,Victory and Power
35,28,Then my tongue shall tell of your righteousness and of your praise all day long.,0.5574,tongue shall tell righteousness praise day long,0,Hopefulness
36,1,Transgression speaks to the wicked deep in their hearts; there is no fear of God before their eyes.,0.6836,transgression speaks wicked deep hearts fear god eyes,3,Judgment & Righteousness
36,2,For they flatter themselves in their own eyes that their iniquity cannot be found out and hated.,-0.5859,flatter eyes iniquity found hated,3,Judgment & Righteousness
36,3,The words of their mouths are mischief and deceit; they have ceased to act wisely and do good.,0.0516,words mouths mischief deceit ceased act wisely good,3,Judgment & Righteousness
36,4,They plot mischief while on their beds; they are set on a way that is not good; they do not reject evil.,0.2187,plot mischief beds set way good reject evil,3,Judgment & Righteousness
36,5,"Your steadfast love, O Lord, extends to the heavens, your faithfulness to the clouds.",0.9062,steadfast love lord extends heavens faithfulness clouds,0,Hopefulness
36,6,"Your righteousness is like the mighty mountains, your judgments are like the great deep; you save humans and animals alike, O Lord.",0.9062,righteousness like mighty mountains judgments like great deep save humans animals alike lord,4,Victory and Power
36,7,"How precious is your steadfast love, O God! All people may take refuge in the shadow of your wings.",0.906,precious steadfast love god people may take refuge shadow wings,0,Hopefulness
36,8,"They feast on the abundance of your house, and you give them drink from the river of your delights.",0.4588,feast abundance house give drink river delights,1,Poetic Metaphors
36,9,For with you is the fountain of life; in your light we see light.,0.0,fountain life light see light,1,Poetic Metaphors
36,10,"O continue your steadfast love to those who know you, and your salvation to the upright of heart!",0.8932,continue steadfast love know salvation upright heart,0,Hopefulness
36,11,"Do not let the foot of the arrogant tread on me, or the hand of the wicked drive me away.",-0.5267,let foot arrogant tread hand wicked drive away,3,Judgment & Righteousness
36,12,"There the evildoers lie prostrate; they are thrust down, unable to rise.",-0.5267,evildoers lie prostrate thrust unable rise,3,Judgment & Righteousness
37,1,"Do not fret because of the wicked; do not be envious of wrongdoers,",-0.379,fret wicked envious wrongdoers,3,Judgment & Righteousness
37,2,"for they will soon fade like the grass, and wither like the green herb.",0.6124,soon fade like grass wither like green herb,1,Poetic Metaphors
37,3,"Trust in the Lord, and do good; so you will live in the land, and enjoy security.",0.8957,trust lord good live land enjoy security,4,Victory and Power
37,4,"Take delight in the Lord, and he will give you the desires of your heart.",0.8442,take delight lord give desires heart,0,Hopefulness
37,5,"Commit your way to the Lord; trust in him, and he will act.",0.6705,commit way lord trust act,4,Victory and Power
37,6,"He will make your vindication shine like the light, and the justice of your cause like the noonday.",0.8126,make vindication shine like light justice cause like noonday,3,Judgment & Righteousness
37,7,"Be still before the Lord, and wait patiently for him; do not fret over those who prosper in their way, over those who carry out evil devices.",-0.6597,still lord wait patiently fret prosper way carry evil devices,4,Victory and Power
37,8,"Refrain from anger, and forsake wrath. Do not fret—it leads only to evil.",-0.8442,refrain anger forsake wrath leads evil,3,Judgment & Righteousness
37,9,"For the wicked shall be cut off, but those who wait for the Lord shall inherit the land.",-0.4118,wicked shall cut wait lord shall inherit land,4,Victory and Power
37,10,"Yet a little while, and the wicked will be no more; though you look diligently for their place, they will not be there.",-0.6808,yet little wicked though look diligently place,3,Judgment & Righteousness
37,11,"But the meek shall inherit the land, and delight themselves in abundant prosperity.",0.7469,meek shall inherit land delight abundant prosperity,2,Protection and Authority
37,12,"The wicked plot against the righteous, and gnash their teeth at them;",-0.5267,wicked plot righteous gnash teeth,3,Judgment & Righteousness
37,13,"but the Lord laughs at the wicked, for he sees that their day is coming.",-0.0772,lord laughs wicked sees day coming,4,Victory and Power
37,14,"The wicked draw the sword and bend their bows to bring down the poor and needy, to kill those who walk uprightly;",-0.9274,wicked draw sword bend bows bring poor needy kill walk uprightly,1,Poetic Metaphors
37,15,"their sword shall enter their own heart, and their bows shall be broken.",0.2732,sword shall enter heart bows shall broken,0,Hopefulness
37,16,Better is a little that the righteous person has than the abundance of many wicked.,-0.128,better little righteous person abundance many wicked,3,Judgment & Righteousness
37,17,"For the arms of the wicked shall be broken, but the Lord upholds the righteous.",-0.5023,arms wicked shall broken lord upholds righteous,4,Victory and Power
37,18,"The Lord knows the days of the blameless, and their heritage will abide forever;",0.1779,lord knows days blameless heritage abide forever,2,Protection and Authority
37,19,"they are not put to shame in evil times, in the days of famine they have abundance.",-0.4303,put shame evil times days famine abundance,3,Judgment & Righteousness
37,20,"But the wicked perish, and the enemies of the Lord are like the glory of the pastures; they vanish—like smoke they vanish away.",-0.2263,wicked perish enemies lord like glory pastures smoke vanish away,3,Judgment & Righteousness
37,21,"The wicked borrow, and do not pay back, but the righteous are generous and keep giving;",0.7578,wicked borrow pay back righteous generous keep giving,3,Judgment & Righteousness
37,22,"for those blessed by the Lord shall inherit the land, but those cursed by him shall be cut off.",-0.0516,blessed lord shall inherit land cursed shall cut,4,Victory and Power
37,23,"Our steps are made firm by the Lord, when he delights in our way;",0.4588,steps made firm lord delights way,4,Victory and Power
37,24,"though we stumble, we shall not fall headlong, for the Lord holds us by the hand.",0.4939,though stumble shall fall headlong lord holds us hand,4,Victory and Power
37,25,"I have been young, and now am old, yet I have not seen the righteous forsaken or their children begging bread.",0.0,young old yet seen righteous forsaken children begging bread,3,Judgment & Righteousness
37,26,"They are ever giving liberally and lending, and their children become a blessing.",0.6808,ever giving liberally lending children become blessing,0,Hopefulness
37,27,"Depart from evil, and do good; so you shall abide forever.",-0.3612,depart evil good shall abide forever,3,Judgment & Righteousness
37,28,"For the Lord loves justice; he will not forsake his faithful ones. The righteous shall be kept safe forever, but the children of the wicked shall be cut off.",-0.5351,lord loves justice forsake faithful ones righteous shall kept safe forever children wicked shall cut,4,Victory and Power
37,29,"The righteous shall inherit the land, and live in it forever.",0.0,righteous shall inherit land live forever,0,Hopefulness
37,30,"The mouths of the righteous utter wisdom, and their tongues speak justice.",0.796,mouths righteous utter wisdom tongues speak justice,3,Judgment & Righteousness
37,31,The law of their God is in their hearts; their steps do not slip.,0.7506,law god hearts steps slip,0,Hopefulness
37,32,"The wicked watch for the righteous, and seek to kill them.",-0.8442,wicked watch righteous seek kill,3,Judgment & Righteousness
37,33,"The Lord will not abandon them to their power, or let them be condemned when they are brought to trial.",-0.1265,lord abandon power let condemned brought trial,3,Judgment & Righteousness
37,34,"Wait for the Lord, and keep to his way, and he will exalt you to inherit the land; you will look on the destruction of the wicked.",-0.7964,wait lord keep way exalt inherit land look destruction wicked,4,Victory and Power
37,35,"I have seen the wicked oppressing, and towering like a cedar of Lebanon.",-0.2263,seen wicked oppressing towering like cedar lebanon,2,Protection and Authority
37,36,"Again I passed by, and they were no more; though I sought them, they could not be found.",-0.296,passed though sought could found,1,Poetic Metaphors
37,37,"Mark the blameless, and behold the upright, for there is posterity for the peaceable.",0.5267,mark blameless behold upright posterity peaceable,3,Judgment & Righteousness
37,38,But transgressors shall be altogether destroyed; the posterity of the wicked shall be cut off.,-0.9109,transgressors shall altogether destroyed posterity wicked shall cut,3,Judgment & Righteousness
37,39,The salvation of the righteous is from the Lord; he is their refuge in the time of trouble.,-0.4019,salvation righteous lord refuge time trouble,4,Victory and Power
37,40,"The Lord helps them and rescues them; he rescues them from the wicked, and saves them, because they take refuge in him.",0.4215,lord helps rescues rescues wicked saves take refuge,4,Victory and Power
38,1,"O Lord, do not rebuke me in your anger, or discipline me in your wrath.",-0.5719,lord rebuke anger discipline wrath,3,Judgment & Righteousness
38,2,"For your arrows have sunk into me, and your hand has come down on me.",0.4939,arrows sunk hand come,1,Poetic Metaphors
38,3,There is no soundness in my flesh because of your indignation; there is no health in my bones because of my sin.,-0.886,soundness flesh indignation health bones sin,1,Poetic Metaphors
38,4,For my iniquities have gone over my head; they weigh like a burden too heavy for me.,-0.1027,iniquities gone head weigh like burden heavy,1,Poetic Metaphors
38,5,My wounds grow foul and fester because of my foolishness;,-0.4215,wounds grow foul fester foolishness,3,Judgment & Righteousness
38,6,I am utterly bowed down and prostrate; all day long I go around mourning.,-0.4404,utterly bowed prostrate day long go around mourning,1,Poetic Metaphors
38,7,"For my loins are filled with burning, and there is no soundness in my flesh.",-0.296,loins filled burning soundness flesh,1,Poetic Metaphors
38,8,I am utterly spent and crushed; I groan because of the tumult of my heart.,0.2815,utterly spent crushed groan tumult heart,1,Poetic Metaphors
38,9,"O Lord, all my longing is known to you; my sighing is not hidden from you.",-0.0258,lord longing known sighing hidden,4,Victory and Power
38,10,"My heart throbs, my strength fails me; as for the light of my eyes—it also has gone from me.",0.6808,heart throbs strength fails light also gone,1,Poetic Metaphors
38,11,"My friends and companions stand aloof from my affliction, and my neighbors stand far off.",0.4767,friends companions stand aloof affliction neighbors stand far,1,Poetic Metaphors
38,12,"Those who seek my life lay their snares; those who seek to hurt me speak of ruin, and meditate treachery all day long.",-0.802,seek life lay snares seek hurt speak ruin meditate treachery day long,0,Hopefulness
38,13,"But I am like the deaf, I do not hear; like the mute, who cannot speak.",0.1494,like deaf hear like mute speak,1,Poetic Metaphors
38,14,"Truly, I am like one who does not hear, and in whose mouth is no retort.",0.4939,truly like one hear whose mouth retort,3,Judgment & Righteousness
38,15,"But it is for you, O Lord, that I wait; it is you, O Lord my God, who will answer.",0.3919,lord wait lord god answer,4,Victory and Power
38,16,"For I pray, “Only do not let them rejoice over me, those who boast against me when my foot slips.”",-0.0274,pray let rejoice boast foot slips,1,Poetic Metaphors
38,17,"For I am ready to fall, and my pain is ever with me.",-0.2023,ready fall pain ever,1,Poetic Metaphors
38,18,I confess my iniquity; I am sorry for my sin.,-0.5994,confess iniquity sorry sin,3,Judgment & Righteousness
38,19,"Those who are my foes without cause are mighty, and many are those who hate me wrongfully.",-0.7717,foes without cause mighty many hate wrongfully,3,Judgment & Righteousness
38,20,Those who render me evil for good are my adversaries because I follow after good.,-0.1531,render evil good adversaries follow good,3,Judgment & Righteousness
38,21,"Do not forsake me, O Lord; O my God, do not be far from me;",0.2732,forsake lord god far,4,Victory and Power
38,22,"make haste to help me, O Lord, my salvation.",0.4019,make haste help lord salvation,4,Victory and Power
39,1,"I said, “I will guard my ways that I may not sin with my tongue; I will keep a muzzle on my mouth as long as the wicked are in my presence.”",-0.122,said guard ways may sin tongue keep muzzle mouth long wicked presence,3,Judgment & Righteousness
39,2,"I was silent and still; I held my peace to no avail; my distress grew worse,",-0.6369,silent still held peace avail distress grew worse,3,Judgment & Righteousness
39,3,"my heart became hot within me. While I mused, the fire burned; then I spoke with my tongue:",0.4215,heart became hot within mused fire burned spoke tongue,1,Poetic Metaphors
39,4,"“Lord, let me know my end, and what is the measure of my days; let me know how fleeting my life is.",0.0,lord let know end measure days let know fleeting life,0,Hopefulness
39,5,"You have made my days a few handbreadths, and my lifetime is as nothing in your sight. Surely everyone stands as a mere breath.Selah",0.4404,made days handbreadths lifetime nothing sight surely everyone stands mere,1,Poetic Metaphors
39,6,"Surely everyone goes about like a shadow. Surely for nothing they are in turmoil; they heap up, and do not know who will gather.",0.7003,surely everyone goes like shadow surely nothing turmoil heap know gather,1,Poetic Metaphors
39,7,"“And now, O Lord, what do I wait for? My hope is in you.",0.4404,lord wait hope,4,Victory and Power
39,8,Deliver me from all my transgressions. Do not make me the scorn of the fool.,-0.6808,deliver transgressions make scorn fool,3,Judgment & Righteousness
39,9,"I am silent; I do not open my mouth, for it is you who have done it.",0.0,silent open mouth done,1,Poetic Metaphors
39,10,Remove your stroke from me; I am worn down by the blows of your hand.,0.25,remove stroke worn blows hand,1,Poetic Metaphors
39,11,"“You chastise mortals in punishment for sin, consuming like a moth what is dear to them; surely everyone is a mere breath.Selah",-0.5106,chastise mortals punishment sin consuming like moth dear surely everyone mere,3,Judgment & Righteousness
39,12,"“Hear my prayer, O Lord, and give ear to my cry; do not hold your peace at my tears. For I am your passing guest, an alien, like all my forebears.",-0.6542,hear prayer lord give ear cry hold peace tears passing guest alien like forebears,4,Victory and Power
39,13,"Turn your gaze away from me, that I may smile again, before I depart and am no more.”",0.0772,turn gaze away may smile depart,1,Poetic Metaphors
40,1,I waited patiently for the Lord; he inclined to me and heard my cry.,-0.4767,waited patiently lord inclined heard cry,4,Victory and Power
40,2,"He drew me up from the desolate pit, out of the miry bog, and set my feet upon a rock, making my steps secure.",0.34,drew desolate pit miry bog set feet upon rock making steps secure,1,Poetic Metaphors
40,3,"He put a new song in my mouth, a song of praise to our God. Many will see and fear, and put their trust in the Lord.",0.7003,put new song mouth song praise god many see fear put trust lord,4,Victory and Power
40,4,"Happy are those who make the Lord their trust, who do not turn to the proud, to those who go astray after false gods.",0.8779,happy make lord trust turn proud go astray false gods,4,Victory and Power
40,5,"You have multiplied, O Lord my God, your wondrous deeds and your thoughts toward us; none can compare with you. Were I to proclaim and tell of them, they would be more than can be counted.",0.2732,multiplied lord god wondrous deeds thoughts toward us none compare proclaim tell would counted,4,Victory and Power
40,6,"Sacrifice and offering you do not desire, but you have given me an open ear. Burnt offering and sin offering you have not required.",-0.76,sacrifice offering desire given open ear burnt offering sin offering required,0,Hopefulness
40,8,"I delight to do your will, O my God; your law is within my heart.”",0.7184,delight god law within heart,0,Hopefulness
40,9,"I have told the glad news of deliverance in the great congregation; see, I have not restrained my lips, as you know, O Lord.",0.7964,told glad news deliverance great congregation see restrained lips know lord,4,Victory and Power
40,10,"I have not hidden your saving help within my heart, I have spoken of your faithfulness and your salvation; I have not concealed your steadfast love and your faithfulness from the great congregation.",0.965,hidden saving help within heart spoken faithfulness salvation concealed steadfast love faithfulness great congregation,0,Hopefulness
40,11,"Do not, O Lord, withhold your mercy from me; let your steadfast love and your faithfulness keep me safe forever.",0.926,lord withhold mercy let steadfast love faithfulness keep safe forever,0,Hopefulness
40,12,"For evils have encompassed me without number; my iniquities have overtaken me, until I cannot see; they are more than the hairs of my head, and my heart fails me.",-0.3658,evils encompassed without number iniquities overtaken see hairs head heart fails,3,Judgment & Righteousness
40,13,"Be pleased, O Lord, to deliver me; O Lord, make haste to help me.",0.6808,pleased lord deliver lord make haste help,4,Victory and Power
40,14,Let all those be put to shame and confusion who seek to snatch away my life; let those be turned back and brought to dishonor who desire my hurt.,-0.7184,let put shame confusion seek snatch away life let turned back brought dishonor desire hurt,3,Judgment & Righteousness
40,15,"Let those be appalled because of their shame who say to me, “Aha, Aha!”",-0.75,let appalled shame say aha aha,3,Judgment & Righteousness
40,16,"But may all who seek you rejoice and be glad in you; may those who love your salvation say continually, “Great is the Lord!”",0.9427,may seek rejoice glad may love salvation say continually great lord,0,Hopefulness
40,17,"As for me, I am poor and needy, but the Lord takes thought for me. You are my help and my deliverer; do not delay, O my God.",0.7089,poor needy lord takes thought help deliverer delay god,4,Victory and Power
41,1,Happy are those who consider the poor; the Lord delivers them in the day of trouble.,-0.2732,happy consider poor lord delivers day trouble,4,Victory and Power
41,2,The Lord protects them and keeps them alive; they are called happy in the land. You do not give them up to the will of their enemies.,0.6597,lord protects keeps alive called happy land give enemies,4,Victory and Power
41,3,The Lord sustains them on their sickbed; in their illness you heal all their infirmities.,-0.4019,lord sustains sickbed illness heal infirmities,4,Victory and Power
